"ID","Joke"
35,"A man and a beautiful woman were having dinner in a fine restaurant. Their waitress (taking another order at a table a few paces away) suddenly noticed that the man was slowing sliding down his chair and under the table, but the woman acted unconcerned. The waitress watched as the man slid all the way down his chair and out of sight under the table. Still, the woman dining across from him appeared calm and unruffled, apparently unaware that her dining companion had disappeared. After the waitress finished taking the order, she came over to the table and said to the woman, ""Pardon me, ma'am, but I think your husband just slid under the table. The woman calmly looked up at her and replied, ""No he didn't. He just walked in the door."""
36,"Dinosaurs went extinct because they heard Chuck Norris was coming."
37,"Q: What do you get when offering a blonde a penny for her thoughts? A: Change."
38,"Why could Jimmy not drive a tractor? Because he had no arms or legs. Why? Because he is a potato."
39,"Things You WON'T Hear Down South I'll take Shakespeare for 1000, Alex. Duct tape won't fix that. Honey, I think we should sell the pickup and buy a family sedan. I'll have grapefruit and grapes instead of biscuits and gravy. We don't keep firearms in this house. Who cares who won the Civil War? You can't feed that to the dog. Too many deer heads detract from the decor. Spittin' is such a nasty habit. I just couldn't find a thing at Wal-Mart today. Trim the fat off that steak. Cappuccino tastes better than espresso. Has anybody seen the sideburns trimmer? I thought Graceland was tacky. No kids in the back of the pickup, it's just not safe. Honey, we don't need another dog. Would you like your fish poached or broiled? Honey, did you mail that donation to Greenpeace? Wrestling is fake. Little Debbie snack cakes have too many fat grams. The tires on that truck are too big. Does the salad bar have bean sprouts, and would you please bring my salad dressing on the side? Hey, here's an episode of ""Hee Haw"" that we haven't seen. I don't have a favorite college team. You All. Nope, no more for me. I'm driving tonight."
40,"Yo mama so poor she went to McDonald's and put a milkshake on layaway."
41,"A lady goes to her priest one day and tells him, ""Father, I have a problem. I have two female parrots, but they only know how to say one thing."" ""What do they say?"" the priest inquired. They say, 'Hi, we're prostitutes. Do you want to have some fun?'"" ""That's obscene!"" the priest exclaimed, then he thought for a moment. ""You know,"" he said, ""I may have a solution to your problem. I have two male talking parrots whom I have taught to pray and read the bible. Bring your two parrots over to my house, an we'll put them in the cage with Francis and Job. My parrots can teach your parrots to praise and worship, and your parrots are sure to stop saying...that phrase...in no time."" ""Thank you,"" the woman responded, ""this may very well be the solution."" The next day, she brought her female parrots to the priest's house. As he ushered her in, she saw that his two male parrots were inside their cage, holding rosary beads and praying. Impressed, she walked over and placed her parrots in with them. After a few minutes, the female parrots cried out in unison: ""Hi, we're prostitutes. Do you want to have some fun?"" There was stunned silence. Finally, one male parrot looked over at the other male parrot and exclaimed, ""Put the beads away, Francis, our prayers have been answered!"""
42,"New Math Ratio of an igloo's circumference to its diameter: Eskimo Pi 2000 pounds of Chinese soup: Won ton Time between slipping on a peel and smacking the pavement: 1 bananosecond Weight an evangelist carries with God: 1 billigram Half of a large intestine: 1 semicolon 1000 aches: 1 kilohurtz Basic unit of laryngitis: 1 hoarsepower 1 million microphones: 1 megaphone 2000 mockingbirds: two kilomockingbirds (work on it....) 52 cards: 1 decacards 3 statute miles of intravenous surgical tubing at Yale University Hospital: 1 I.V. League"
43,"A customer walks into a restaurant and notices large sign on the wall: $500 IF WE FAIL TO FILL YOUR ORDER! When his waitress arrives, he orders elephant dung on rye. She calmly writes down his order and walks into the kitchen where all hell breaks loose! The restaurant owner comes storming out of the kitchen. He runs up to the customer's table, slaps five $100 bills down on it and says, ""You got me that time buddy, but I want you to know that's the first time in ten years we've been out of rye bread!"""
44,"Blind Date A guy gets set up on a blind date and he takes her out for dinner to a very expensive restaurant to make a good impression. The waiter approaches the table and asks to take their order. The lady begins ordering practically everything on the menu, shrimp cocktail, pate, Caesar Salad, lobster, crepes Suzette, with no regard to the price. The guy is getting very upset, as he never thought she would order so much. She then stops, and looks across at him, and asks, ""What do you suggest I wash it down with?"" ""Well my dear, I can think of nothing so fitting as the Mississippi River."""
45,"A duck walks into a bar. Animal control is promptly called and the duck is released in a nearby park."
46,"""Doctor, doctor, there's a lettuce sticking out of my bum! Is it serious?"" ""I'm sorry to tell you, that's just the tip of the iceberg."""
47,"What did the farmer say when he lost his tractor? ""Where's my tractor?"
48,"Google won't search for Chuck Norris because it knows you don't find Chuck Norris, he finds you."
49,"How do you stop a ginger from drowning? You throw him a lifesaver and tell him to grab on to it."
50,"Chuck Norris was once in a knife fight, and the knife lost."
51,"A ventriloquist is touring clubs in Florida. With his dummy on his knees, he's going through his usual dumb blonde jokes when a blonde woman in the audience stands on her chair and shouts, ""I've heard enough of your stupid blonde jokes. What does the color of a person's hair have to do with her worth as a human being? It's guys like you who keep women like me from being respected at work and from reaching our full potential!"" The embarrassed ventriloquist starts to apologize, when the blonde yells, ""You stay out of this, mister! I'm talking to that little bastard sitting on your knee!"""
52,"Kitty's Heaven St Peter is receptionist at the entrance of Heaven. A cat shows up and St Peter says, ""I know you! You were a very nice cat on earth and didn't cause any trouble, so I want to offer a gift to you of one special thing you have always wanted."" Cat: ""Well, I did always long to own a nice satin pillow like my master had, so I could lie on it."" St Peter: ""That's easy. Granted. You shall have the satin pillow after you enter in."" Next, a group of mice appeared and St Peter greeted them and said: ""Ah, I remember you. You were such good mice on earth. You didn't steal food from anyone's house and never hurt other animals. Therefore, I want to grant you one special wish you have always wanted."" The Chief Mouse replied, ""Well, we always watched the children playing and saw them roller skate, and it was beautiful, and it looked like so much fun. So can we each have some roller skates, please?"" St Peter: ""Granted. You shall have your wish."" Next day, St Peter is making the rounds inside the Gates, and sees the cat. ""Well, Cat...Did you enjoy the satin pillow?"" Cat: ""Oh, indeed I did. And say...that 'Meals on Wheels' thing was a nice touch, too!"""
53,"The Perfect Man At a local coffee bar, a young woman was expounding on her idea of the perfect mate to some of her friends. ""The man I marry must be a shining light amongst company. He must be musical. Tell jokes. Sing. And stay home at night!"" An old granny overheard and spoke up, ""Honey, if that's all you want,get a TV!"""
54,"Yo mama's so fat, even Dora cannot explore her!"
55,"Yo mama so fat, when she went to Hogwarts for the first time, the sorting hat said ""Awwwwww hell 'naw!!"""
56,"Three old Italian spinsters die and go to heaven. At the Pearly Gates, they are met by St. Peter. He says ""Ladies, you all led such wonderful lives that I'm granting you six months to go back to earth and be anyone you want to be. The first spinster says, ""I want to be Sophia Loren;"" and *poof* she's gone. The second says, ""I want to be Madonna;"" and *poof* she's gone. The third says, ""I want to be Sara Pipalini."" St. Peter looks perplexed. ""Who?"" he says. ""Sara Pipalini"" replies the old spinster. St. Peter shakes his head and says; ""I'm sorry, but that name just doesn't ring a bell."" The old gal then takes a newspaper out of her purse and hands it to St. Peter. He reads the paper and starts laughing. He hands it back to her and says ""No, my dear woman, the paper says it was the 'Sahara Pipeline' that was laid by 1,400 men in 6 months."""
57,"There are these two guys driving a car. When the guy driving blows right through the red light. ""Man, you just ran that red light!"" the passenger said. ""Don't worry, my brother does it all the time,"" said the driver. Well, they continue to drive when the guy went flying through another stop light. ""You ran ANOTHER stop light. You are going to get us killed!!"" exclaimed the passenger. ""Don't worry, my brother does it all the time!"" the driver said. After a while they came to a green light when the guy stopped. ""Why are you stopping?"" the driver turned around and said, ""Because my brother might be coming!"""
58,"A blonde, a brunettes and a redhead all tried out for the same job painting road stripes. The boss told them they would all work for three days and whoever painted the most would get the job. At the end of the first day the redhead had painted 3 miles, the brunette had painted 2.5 miles and the blonde had painted 10 miles. The boss was so exited he told her to keep it up and the job was hers. The next day the redhead painted 5 miles, the brunette 5.6 miles and the blonde 4 miles. The boss told her not to worry, ""You still have a good lead. So, on the third day the redhead had painted 6 miles, the brunette 5 miles and the blonde only one mile. The boss was so disappointed, he asked the blonde, ""What went wrong, you were doing so good."" She said, ""Well, that bucket of paint keeps getting further and further away."""
59,"Guide To Office Language BLAMESTORMING: Sitting around in a group discussing why a deadline was missed or a project failed and who was responsible. SEAGULL MANAGER: A manager who flies in, makes a lot of noise, craps all over everything and then leaves. ADMINISPHERE: The rarefied organizational layers beginning just above the rank and file. Decisions that fall from the adminisphere are often profoundly inappropriate or irrelevant to the problems they were designed to solve. FLIGHT RISK: Used to describe employees who are suspected of planning to leave the company or department soon. OHNO-SECOND: That minuscule fraction of time in which realize that you've just made a BIG mistake. Like making the selection that reformats your hard drive. PERCUSSIVE MAINTENANCE: The fine art of whacking the crap out of an electronic device to get it to work again."
60,"Going to Heaven Father Murphy walks into a pub in Donegal, and says to the first man he meets, ""Do you want to go to heaven?"" The man said, ""I do Father."" The priest said, ""Then stand over there against the wall."" Then the priest asked the second man, ""Do you want to got to heaven?"" ""Certainly, Father,"" was the man's reply. ""Then stand over there against the wall,"" said the priest. Then Father Murphy walked up to O'Toole and said, ""Do you want to go to heaven?"" O'Toole said, ""No, I don't Father."" The priest said, ""I don't believe this. You mean to tell me that when you die you don't want to go to heaven?"" O'Toole said, ""Oh, when I die, yes. I thought you were getting a group together to go right now."""
61,"Heaven Saint Peter had a terrible cold and fever and didn't think he would last the day minding the Pearly Gates of Heaven. So he phoned Jesus to ask for the day off. ""Why, Peter,"" Jesus said. ""You know your health is my first concern. Take as much time as you need."" As Jesus pondered who he might use to replace Peter, he decided to handle the job himself. It was a very slow day and no one approached the Gates until late in the afternoon, when in the distance, Jesus saw a bent, white-haired old man slowly making his way up the path with the aid of a gnarled cane. As the man neared, Jesus said, ""Good afternoon, sir. How may I help you?"" ""Well,"" replied the man, ""I was hoping to enter the Gates of Heaven."" ""We would certainly love to have you,"" said Jesus, ""but we do have certain rules as to who can enter Heaven. Tell me, what have you done to deserve such an honor?"" ""Actually, I have done nothing so wonderful myself,"" said the man. ""I lived in a small town and led a simple life as a carpenter. But my son,"" he continued, ""now HE was special!"" With pride in his voice he said, ""I raised him to be a carpenter like myself and did my best to teach him right from wrong. And when he grew older, an amazing transformation overcame him and to this day he's known throughout the world and loved by all alike."" As Jesus listened to the story, a sense of recognition came to him. With a lump in his throat and a tear in his eye, he threw open his arms and cried, ""Father!"" Emotional at this outburst, the old man threw open his arms and yelled, ""Pinocchio?"""
62,"It's that time of year to take our annual senior citizen test. Exercising the brain is as important as exercising muscles. As we grow older, it's important to keep mentally alert. If you don't use it, you lose it! Below is a very private way to gauge your loss or non-loss of intelligence. Take the test presented here to determine if you're losing it or not. The spaces below are so you don't see the answers until you've made your answer. OK, relax, clear your mind and begin. 1. What do you put in a toaster? Answer: ""bread."" If you said ""toast,"" give up now and do something else. Try not to hurt yourself. If you said, bread, go to Question 2. 2. Say ""silk"" five times. Now spell ""silk"" What do cows drink? Answer: Cows drink water. If you said ""milk,"" don't attempt the next question. Your brain is over-stressed and may even overheat. Content yourself with reading a more appropriate literature such as Auto World. However, if you said ""water"", proceed to question 3. 3. If a red house is made from red bricks and a blue house is made from blue bricks and a pink house is made from pink bricks and a black house is made from black bricks , what is a green house made from? Answer: Greenhouses are made from glass. If you said ""green bricks,"" why the heck are you still reading these??? If you said ""glass,"" go on to Question 4. 4. It's twenty years ago, and a plane is flying at 20,000 feet over Germany (If you will recall, Germany at the time was politically divided into West Germany and East Germany .) Anyway, during the flight, two engines fail. The pilot, realizing that the last remaining engine is also failing, decides on a crash landing procedure. Unfortunately the engine fails before he can do so and the plane fatally crashes smack in the middle of ""no man's land"" between East Germany and West Germany . Where would you bury the survivors? East Germany , West Germany , or no man's land""? Answer: You don't bury survivors. If you said ANYTHING else, you're a dunce and you must stop. If you said, ""You don't bury survivors"", proceed to the next question. 5. Without using a calculator - You are driving a bus from London to Milford Haven in Wales . In London , 17 people get on the bus. In Reading , six people get off the bus and nine people get on. In Swindon, two people get off and four get on. In Cardiff, 11 people get off and 16 people get on . In Swansea , three people get off and five people get on. In Carmathen, six people get off and three get on. You then arrive at Milford Haven. What was the name of the bus driver? Answer: Oh, for crying out loud! Don't you remember your own name? It was YOU!! Now pass this along to all your friends and pray they do better than you. PS: 95% of people fail most of the questions!!"
63,"why couldnt the teddy bear eat any more thanksgiving dinner? he was already stuffed!"
64,"Introducing the new, improved MID-LIFE BARBIE: Now, at long last, here are some NEW Barbie dolls to coincide with her and OUR aging gracefully. These are a bit more realistic. 1. BIFOCALS BARBIE: Comes with her own set of blended-lens fashion frames in six wild colors (half-frames too), neck chain and large print editions of Vogue and Martha Stewart Living. 2. HOT FLASH BARBIE: Press Barbie's belly button and watch her face turn beet red while tiny drops of perspiration appear on her forehead. Comes with hand-held fan and tiny tissues. 3. FACIAL HAIR BARBIE: As Barbie's hormone levels shift, see her whiskers grow. Available with teensy tweezers and magnifying mirror. 4. FLABBY ARMS BARBIE: Hide Barbie's droopy triceps with these new, roomier sleeved gowns. Good news on the tummy front too- muumuus with tummy support panels are included. 5. BUNION BARBIE: Years of disco dancing in stiletto heels have definitely taken their toll on Barbie's dainty arched feet. Soothe her sores with the pumice stone and plasters, then slip on soft terry mules. 6. NO-MORE-WRINKLES BARBIE: Erase those pesky crow's feet and lip lines with a tube os Skin Sparkle Spackle, from Barbie's own line of exclusive age-blasting cosmetics. 7. SOCCER MOM BARBIE: All that experience as a cheerleader is really paying off as barbie dusts off her old high school megaphone to root for Babs and Ken Jr. Comes with a SUV in robin-egg blue or white, and cooler filled with doughnut holes and fruit punch. 8. DIVORCED BARBIE: Sells for $399.99. Comes with Ken's house, Ken's car and Ken's boat. 9. POST-MENOPAUSAL BARBIE: This Barbie wets her pants when she sneezes, forgets where she puts things and cries a lot. She is sick of Ken sitting on the couch watching the tube, clicking through the channels. Comes with Depends and Kleenex."
